Country,Year,Agriculture,Energy,Industry,Residential,Transport,Waste,Other,total
Australia & New Zealand,2007,-15578,321575,18879.07,22510,93806,15.2,189,441396.27
Australia & New Zealand,2008,-16561,333297.54,18881.87,22980,96130,15.4,189,454932.81
Australia & New Zealand,2009,-15858,329754.35,17676.44,23020,94423,15.6,189,449220.39
Australia & New Zealand,2010,-16593,325215,20746.01,23330,94590,15.9,189,447492.91
Austria,1990,-11858,30635.5844,5640.6969,13412.0688,12914.701,7.721,0,50752.7721
Austria,1991,-11858,31810.2455,5549.1523,14782.2403,14204.5333,7.5439,0,54495.7153
Austria,1992,-11858,27931.2042,5417.7315,13903.4075,14171.2129,7.3667,0,49572.9228
Austria,1993,-11858,28154.4549,5388.0944,13713.2087,14217.2118,7.1896,0,49622.1594
Austria,1994,-11858,29616.8112,5448.2376,12675.0606,14234.2031,7.0125,0,50123.325
Austria,1995,-11858,31410.3347,5155.2223,13819.0524,14382.2273,6.8353,0,52915.672
Austria,1996,-11858,32797.6499,5338.517,15290.8698,15667.2286,6.6582,0,57242.9235
Austria,1997,-11858,34753.7992,5417.327,13529.8062,14801.9493,6.481,0,56651.3627
Austria,1998,-11858,34470.7362,5260.0783,13606.8652,16663.0501,6.3039,0,58149.0337
Austria,1999,-11858,32543.5439,5266.0521,14175.9626,15974.479,6.1268,0,56108.1644
Austria,2000,-11858,31853.5,5370.44,12600,17003.6,5.95,0,54975.49
Austria,2001,-7092,32775.3,5361.94,14300,18034.6,5.77,0,63385.61
Austria,2002,-7092,33578.3,5413.54,13400,19554.6,5.6,0,64860.04
Austria,2003,-7091,35904,5423.64,14600,21278.5,5.42,0,70120.56
Austria,2004,-7091,37174,5493.94,14000,24623.5,5.24,0,74205.68
Austria,2005,-7092,38473,5507.24,13600,25042,5.06,0,75535.3
Austria,2006,-4158,38629,5975.74,12000,23934.4,4.89,0,76386.03
Austria,2007,-4158,37438,6207.24,10200,24111.4,4.71,0,73803.35
Austria,2008,-4158,37878,6268.24,11100,23943.4,4.53,0,75036.17
Austria,2009,-4158,33056,5924.34,10300,23082.1,4.36,0,68208.8
Austria,2010,-4158,36671,6591.44,11500,23974.9,4.18,0,74583.52
Azerbaijan,1992,-1150,27217.1933,969.5153,11433.9774,3504.1116,0,0,41974.7976
Azerbaijan,1993,-1150,28948.8023,662.267,7139.6708,3572.8739,0,0,39173.614
Azerbaijan,1994,-1150,23470.6686,541.9457,8753.0258,4113.308,0,0,35728.9481
Azerbaijan,1995,-1150,20898.0042,343.5178,7074.5398,3087.1851,0,0,30253.2469
Azerbaijan,1996,-1150,19271.5625,362.3525,6117.9249,2419.189,0,0,27021.0289
Azerbaijan,1997,-1150,17986.9894,391.7005,6532.0514,1865.1748,0,0,25625.9161
Azerbaijan,1998,-1150,19420.6331,353.2778,6967.9781,1660.8615,0,0,27252.7505
Azerbaijan,1999,-1150,20378.2624,356.5275,6135.1152,1389.6302,0,0,27109.5353
Azerbaijan,2000,-1150,21097,396.1,6620,2090.5,0,0,29053.6
Azerbaijan,2001,-947,18878,512.84,6440,2249.9,0,0,27133.74
Azerbaijan,2002,-947,17693,673.48,6160,2410,0,0,25989.48
Azerbaijan,2003,-947,19901,801.82,6640,2660,0,0,29055.82
Azerbaijan,2004,-947,19282,1012.75,6690,3250,0,0,29287.75
Azerbaijan,2005,-947,19106,1099.79,7090,5021.7,0,0,31370.49
Azerbaijan,2006,-7465,20055,1088.53,6070,4542.29,0,0,24290.82
Azerbaijan,2007,-7465,16936,1129.57,5760,3401.09,0,0,19761.66
Azerbaijan,2008,-7465,20593,1153.31,7090,4913.7,0,0,26285.01
Azerbaijan,2009,-7465,16704,1143.05,6380,4366,0,0,21128.05
Azerbaijan,2010,-7465,15859,1221.59,6580,4922.3,0,0,21117.89
Bahamas,1990,-1452,1193.5628,321.9011,1326.9371,430.0542,0,0,1820.4552
Bahamas,1991,-1452,1211.399,327.7842,1194.0484,411.7933,0,0,1693.0249
Bahamas,1992,-1452,1086.4546,333.9057,964.9939,368.1493,0,0,1301.5035
Bahamas,1993,-1452,1045.6439,340.1524,893.509,355.8147,0,0,1183.12
Bahamas,1994,-1452,1125.6906,346.3566,982.3364,396.2606,0,0,1398.6442
Bahamas,1995,-1452,1280.1464,352.3963,1094.0569,457.1335,0,0,1731.7331
Bahamas,1996,-1452,1400.219,358.234,1228.4055,509.4603,0,0,2044.3188
Bahamas,1997,-1452,1391.9332,363.908,914.4382,504.7435,0,0,1723.0229
Bahamas,1998,-1452,1411.0756,369.4539,709.0147,910.3307,0,0,1947.8749
Bahamas,1999,-1452,1336.0023,374.9412,707.3048,910.9452,0,0,1877.1935
Bahamas,2000,-1452,1258.0001,380.5952,368,919.8,0,0,1474.3953
Bahamas,2001,-967,1247.0001,385.6453,366,877.73,0,0,1909.3754
Bahamas,2002,-967,1332.0001,391.6954,368,894.9,0,0,2019.5955
Bahamas,2003,-967,1507.0002,396.7554,388,983.58,0,0,2308.3356
Bahamas,2004,-967,1536.0002,401.8055,424,1090.24,0,0,2485.0457
Bahamas,2005,-967,1549.0002,407.8456,393,1109.95,0,0,2492.7958
Bahamas,2006,4910,1652.0002,412.8956,418,1179.24,0,0,8572.1358
Bahamas,2007,4910,1736.0002,418.1757,405,1253.31,0,0,8722.4859
Bahamas,2008,4910,1802.0002,424.2258,416,1321.91,0,0,8874.136
Bahamas,2009,4910,1887.0003,429.3559,423,1398.89,0,0,9048.2462
Bahamas,2010,4910,1971.0003,434.476,431,1466.87,0,0,9213.3463
Bahrain,1990,-3,10534.2514,976.0118,126.9353,1000.2674,0,0,12634.4659
Bahrain,1991,-3,10250.8334,924.6919,138.2345,1011.466,0,0,12322.2258
Bahrain,1992,-3,10521.5632,1074.3071,146.8937,1128.0217,0,0,12867.7857
Bahrain,1993,-3,10124.8675,1380.6532,146.8937,1168.2368,0,0,12817.6512
Bahrain,1994,-3,10183.8861,1336.6115,155.552,1188.1444,0,0,12861.194
Bahrain,1995,-3,10191.1294,1401.7143,155.1841,1239.4681,0,0,12984.4959
Bahrain,1996,-3,10753.4336,1341.5138,173.2374,1262.4753,0,0,13527.6601
Bahrain,1997,-3,11226.3456,1556.4646,245.0854,1324.4077,0,0,14349.3033
Bahrain,1998,-3,12038.8234,1465.2959,314.2926,1395.239,0,0,15210.6509
Bahrain,1999,-3,12165.3933,1572.9073,168.7553,1450.7622,0,0,15354.8181
Bahrain,2000,-3,12394.8,1426.495,177,1540,0,0,15535.295
Bahrain,2001,-3,12934.2,1560.4553,186,1600,0,0,16277.6553
Bahrain,2002,-3,13614.5,1512.7855,191,1790,0,0,17105.2855
Bahrain,2003,-3,14025,1418.0057,208,1950,0,0,17598.0057
Bahrain,2004,-3,14465,1634.526,222,2130,0,0,18448.526
Bahrain,2005,-3,15414.8,2100.6562,234,2500,0,0,20246.4562
Bahrain,2006,-4,16684.4,2309.7764,188,2580,0,0,21758.1764
Bahrain,2007,-4,17844.6,2263.8967,193,2810,0,0,23107.4967
